locus prob log10(PO) qval alpha fst
10000 0.00965048 -2.01124 0.966927 -0.0079800 0.018250
10004 0.014451 -1.8338 0.86970 -0.011609 0.018219
10009 0.010401 -1.9784 0.95800 -0.0076100 0.018252
1001 0.012451 -1.8994 0.92191 -0.0087936 0.018242
10014 0.0085504 -2.0643 0.97636 0.0014195 0.018416
10015 0.0092505 -2.0298 0.97114 -0.0050338 0.018284
10019 0.0089004 -2.0467 0.97382 -0.0035089 0.018306
10020 0.0092005 -2.0322 0.97154 -0.0060713 0.018271
10023 0.0081504 -2.0853 0.97848 -0.00061779 0.018351
1003 0.0072504 -2.1365 0.98140 0.0018513 0.018414
10030 0.0092505 -2.0298 0.97114 -0.0034407 0.018308
10037 0.0075004 -2.1216 0.98082 0.00079267 0.018380
10040 0.0098505 -2.0022 0.96440 -0.0062802 0.018265
10043 0.011751 -1.9248 0.93646 -0.0078244 0.018256
10049 0.0057003 -2.2416 0.98248 -0.00058647 0.018339
1005 0.0091505 -2.0346 0.97181 0.0043418 0.018473
10055 0.0095005 -2.0181 0.96854 -0.0049981 0.018280
10056 0.0089004 -2.0467 0.97382 -0.0014651 0.018343
10058 0.0079504 -2.0961 0.97936 0.00052390 0.018367
10061 0.0068503 -2.1613 0.98196 6.7522e-05 0.018352
10068 0.0066503 -2.1743 0.98215 0.0026090 0.018407
10070 0.0080504 -2.0907 0.97894 0.00013782 0.018367
10071 0.0091505 -2.0346 0.97181 -0.0041734 0.018295
10078 0.010651 -1.9680 0.95432 -0.0065572 0.018269
10088 0.0087504 -2.0542 0.97496 -0.0050338 0.018286
10089 0.0085004 -2.0669 0.97666 -0.0026397 0.018316
10097 0.0085004 -2.0669 0.97666 -0.0026167 0.018321
101 0.011201 -1.9459 0.94682 -0.0070987 0.018265
10100 0.019151 -1.7094 0.79897 0.017326 0.018966
10101 0.011151 -1.9478 0.94754 -0.0074740 0.018255
10102 0.0087004 -2.0567 0.97532 -0.00056349 0.018387
10109 0.011501 -1.9343 0.94148 -0.0068787 0.018269
10112 0.011301 -1.9420 0.94497 0.0077718 0.018612
10115 0.010101 -1.9912 0.96161 0.0045947 0.018508
1012 0.0089504 -2.0443 0.97341 -0.0049441 0.018276
10120 0.0086504 -2.0592 0.97568 0.00046593 0.018398
10123 0.65408 0.27666 0.067491 0.90236 0.052740
10127 0.0082504 -2.0799 0.97796 0.00016862 0.018381
1013 0.0075004 -2.1216 0.98082 0.00055527 0.018358
10133 0.0080504 -2.0907 0.97894 0.0012649 0.018390
10137 0.0085504 -2.0643 0.97636 -0.0054643 0.018279
10142 0.011651 -1.9286 0.93866 0.0081406 0.018621
10150 0.0075004 -2.1216 0.98082 0.0041186 0.018456
10156 0.0092005 -2.0322 0.97154 0.0026442 0.018458
10158 0.0099005 -2.0000 0.96399 0.0032217 0.018486
10160 0.0093005 -2.0274 0.97060 -0.0010617 0.018378
10166 0.012151 -1.9101 0.92795 -0.0072750 0.018268
1017 0.0080504 -2.0907 0.97894 -0.0027954 0.018311
10171 0.012151 -1.9101 0.92795 -0.0082439 0.018251
10177 0.0080004 -2.0934 0.97913 0.0029487 0.018417
10178 0.0078004 -2.1045 0.97994 0.00041325 0.018401
